LOAD_ZONE,TIMEPOINT,zone_demand_mw
Menorca,823,66.37
Menorca,824,78.10
Menorca,825,88.07
Menorca,826,93.23
Menorca,827,93.30
Menorca,828,92.59
Menorca,829,91.46
Menorca,830,88.10
Menorca,831,84.26
Menorca,832,82.61
Menorca,833,85.13
Menorca,834,88.41
Menorca,835,91.19
Menorca,836,93.27
Menorca,837,92.71
Menorca,838,82.89
Menorca,839,72.59
Menorca,840,63.39
Menorca,841,49.69
Menorca,842,46.53
Menorca,843,44.59
Menorca,844,44.04
Menorca,845,45.57
Menorca,846,51.33
Menorca,847,60.47
Menorca,848,71.41
Menorca,849,79.73
Menorca,850,83.16
Menorca,851,82.09
Menorca,852,81.00
Menorca,853,79.34
Menorca,854,75.43
Menorca,855,72.20
Menorca,856,71.26
Menorca,857,73.97
Menorca,858,77.21
Menorca,859,79.41
Menorca,860,82.31
Menorca,861,79.90
Menorca,862,70.73
Menorca,863,61.84
Menorca,864,54.40
Menorca,865,46.06
Menorca,866,43.23
Menorca,867,41.57
Menorca,868,41.20
Menorca,869,42.69
Menorca,870,49.51
Menorca,871,60.56
Menorca,872,70.80
Menorca,873,79.11
Menorca,874,82.34
Menorca,875,81.36
Menorca,876,80.17
Menorca,877,78.04
Menorca,878,73.64
Menorca,879,70.93
Menorca,880,70.63
Menorca,881,73.00
Menorca,882,76.40
Menorca,883,78.84
Menorca,884,82.19
Menorca,885,77.97
Menorca,886,67.86
Menorca,887,59.10
Menorca,888,51.56
Menorca,889,50.03
Menorca,890,47.11
Menorca,891,45.43
Menorca,892,44.93
Menorca,893,46.29
Menorca,894,53.40
Menorca,895,64.21
Menorca,896,74.34
Menorca,897,81.90
Menorca,898,85.33
Menorca,899,84.81
Menorca,900,84.13
Menorca,901,82.19
Menorca,902,78.81
Menorca,903,75.46
Menorca,904,75.54
Menorca,905,78.34
Menorca,906,80.96
Menorca,907,83.40
Menorca,908,87.29
Menorca,909,81.14
Menorca,910,70.79
Menorca,911,61.96
Menorca,912,54.76
Menorca,913,45.87
Menorca,914,43.47
Menorca,915,42.09
Menorca,916,41.57
Menorca,917,43.04
Menorca,918,50.37
Menorca,919,60.84
Menorca,920,69.49
Menorca,921,76.49
Menorca,922,79.71
Menorca,923,78.83
Menorca,924,78.23
Menorca,925,75.96
Menorca,926,72.17
Menorca,927,69.20
Menorca,928,69.31
Menorca,929,72.19
Menorca,930,74.31
Menorca,931,77.09
Menorca,932,80.61
Menorca,933,74.50
Menorca,934,64.64
Menorca,935,56.67
Menorca,936,50.09
Menorca,937,41.84
Menorca,938,39.77
Menorca,939,38.53
Menorca,940,38.21
Menorca,941,39.67
Menorca,942,46.27
Menorca,943,56.73
Menorca,944,63.86
Menorca,945,69.47
Menorca,946,71.74
Menorca,947,70.51
Menorca,948,69.00
Menorca,949,67.07
Menorca,950,63.31
Menorca,951,60.70
Menorca,952,60.93
Menorca,953,63.11
Menorca,954,64.96
Menorca,955,68.67
Menorca,956,71.27
Menorca,957,65.79
Menorca,958,56.91
Menorca,959,50.13
Menorca,960,44.67
Menorca,961,38.59
Menorca,962,36.64
Menorca,963,35.89
Menorca,964,35.49
Menorca,965,36.81
Menorca,966,43.10
Menorca,967,53.43
Menorca,968,60.23
Menorca,969,65.63
Menorca,970,67.71
Menorca,971,66.91
Menorca,972,65.71
Menorca,973,63.31
Menorca,974,59.61
Menorca,975,57.16
Menorca,976,57.50
Menorca,977,59.51
Menorca,978,61.19
Menorca,979,65.83
Menorca,980,67.59
Menorca,981,62.00
Menorca,982,53.51
Menorca,983,47.19
Menorca,984,42.21
Menorca,985,36.06
Menorca,986,34.21
Menorca,987,33.36
Menorca,988,32.97
Menorca,989,34.43
Menorca,990,40.40
Menorca,991,50.63
Menorca,992,57.03
Menorca,993,61.60
Menorca,994,63.67
Menorca,995,62.86
Menorca,996,61.81
Menorca,997,59.13
Menorca,998,55.26
Menorca,999,52.90
Menorca,1000,53.01
Menorca,1001,54.51
Menorca,1002,55.61
Menorca,1003,61.06
Menorca,1004,61.80
Menorca,1005,56.94
Menorca,1006,49.27
Menorca,1007,43.36
Menorca,1008,38.39
Menorca,1009,33.11
Menorca,1010,31.19
Menorca,1011,30.49
Menorca,1012,30.30
Menorca,1013,31.26
